creationDate,startDate,endDate,value
2023-09-30 10:45:29 +0100,2023-09-30 10:44:04 +0100,2023-09-30 10:44:04 +0100,61
2023-09-30 10:49:57 +0100,2023-09-30 10:45:19 +0100,2023-09-30 10:45:19 +0100,60
2023-09-30 10:54:43 +0100,2023-09-30 10:52:52 +0100,2023-09-30 10:52:52 +0100,62
2023-09-30 11:00:23 +0100,2023-09-30 10:54:38 +0100,2023-09-30 10:54:38 +0100,61
2023-09-30 11:04:49 +0100,2023-09-30 11:02:08 +0100,2023-09-30 11:02:08 +0100,65
2023-09-30 11:10:11 +0100,2023-09-30 11:08:42 +0100,2023-09-30 11:08:42 +0100,67
2023-09-30 11:15:52 +0100,2023-09-30 11:13:31 +0100,2023-09-30 11:13:31 +0100,62
2023-09-30 11:19:24 +0100,2023-09-30 11:18:22 +0100,2023-09-30 11:18:22 +0100,65.6124
2023-09-30 11:20:02 +0100,2023-09-30 11:18:39 +0100,2023-09-30 11:18:39 +0100,64
2023-09-30 11:25:19 +0100,2023-09-30 11:20:22 +0100,2023-09-30 11:20:22 +0100,63
2023-09-30 11:31:45 +0100,2023-09-30 11:26:05 +0100,2023-09-30 11:26:05 +0100,66
2023-09-30 11:34:55 +0100,2023-09-30 11:31:41 +0100,2023-09-30 11:31:41 +0100,63
2023-09-30 11:40:06 +0100,2023-09-30 11:34:47 +0100,2023-09-30 11:34:47 +0100,66
2023-09-30 11:46:02 +0100,2023-09-30 11:40:26 +0100,2023-09-30 11:40:26 +0100,64
2023-09-30 11:49:52 +0100,2023-09-30 11:47:47 +0100,2023-09-30 11:47:47 +0100,60
2023-09-30 11:54:57 +0100,2023-09-30 11:50:52 +0100,2023-09-30 11:50:52 +0100,64
2023-09-30 12:05:50 +0100,2023-09-30 11:57:51 +0100,2023-09-30 11:57:51 +0100,62
2023-09-30 12:07:43 +0100,2023-09-30 12:02:08 +0100,2023-09-30 12:02:08 +0100,79
2023-09-30 12:10:11 +0100,2023-09-30 12:07:47 +0100,2023-09-30 12:07:47 +0100,66
2023-09-30 12:18:27 +0100,2023-09-30 12:12:05 +0100,2023-09-30 12:12:05 +0100,70
2023-09-30 12:20:10 +0100,2023-09-30 12:15:14 +0100,2023-09-30 12:15:14 +0100,66
2023-09-30 12:25:35 +0100,2023-09-30 12:22:59 +0100,2023-09-30 12:22:59 +0100,64
2023-09-30 12:31:40 +0100,2023-09-30 12:26:44 +0100,2023-09-30 12:26:44 +0100,70
